taxid,name_old,name_new
1400884,Mycobacterium tuberculosis KT-0022,Mycobacterium tuberculosis KT-0022
1400885,Mycobacterium tuberculosis KT-0023,Mycobacterium tuberculosis KT-0023
1400886,Mycobacterium tuberculosis KT-0024,Mycobacterium tuberculosis KT-0024
1400887,Mycobacterium tuberculosis KT-0026,Mycobacterium tuberculosis KT-0026
1400888,Mycobacterium tuberculosis KT-0027,Mycobacterium tuberculosis KT-0027
1400889,Mycobacterium tuberculosis KT-0028,Mycobacterium tuberculosis KT-0028
1400890,Mycobacterium tuberculosis KT-0030,Mycobacterium tuberculosis KT-0030
1400891,Mycobacterium tuberculosis KT-0035,Mycobacterium tuberculosis KT-0035
1400892,Mycobacterium tuberculosis KT-0038,Mycobacterium tuberculosis KT-0038
1400893,Mycobacterium tuberculosis KT-0039,Mycobacterium tuberculosis KT-0039
1400894,Mycobacterium tuberculosis KT-0041,Mycobacterium tuberculosis KT-0041
1400895,Mycobacterium tuberculosis KT-0043,Mycobacterium tuberculosis KT-0043
1400896,Mycobacterium tuberculosis KT-0044,Mycobacterium tuberculosis KT-0044
1400897,Mycobacterium tuberculosis KT-0045,Mycobacterium tuberculosis KT-0045
1400898,Mycobacterium tuberculosis KT-0047,Mycobacterium tuberculosis KT-0047
1400899,Mycobacterium tuberculosis KT-0048,Mycobacterium tuberculosis KT-0048
1400900,Mycobacterium tuberculosis KT-0049,Mycobacterium tuberculosis KT-0049
1400901,Mycobacterium tuberculosis KT-0050,Mycobacterium tuberculosis KT-0050
1400902,Mycobacterium tuberculosis KT-0051,Mycobacterium tuberculosis KT-0051
1400903,Mycobacterium tuberculosis KT-0052,Mycobacterium tuberculosis KT-0052
1400904,Mycobacterium tuberculosis KT-0053,Mycobacterium tuberculosis KT-0053
1400905,Mycobacterium tuberculosis KT-0054,Mycobacterium tuberculosis KT-0054
1400906,Mycobacterium tuberculosis KT-0055,Mycobacterium tuberculosis KT-0055
1400907,Mycobacterium tuberculosis KT-0056,Mycobacterium tuberculosis KT-0056
1400908,Mycobacterium tuberculosis KT-0057,Mycobacterium tuberculosis KT-0057
1400909,Mycobacterium tuberculosis KT-0058,Mycobacterium tuberculosis KT-0058
1400910,Mycobacterium tuberculosis KT-0061,Mycobacterium tuberculosis KT-0061
1400911,Mycobacterium tuberculosis KT-0063,Mycobacterium tuberculosis KT-0063
1400912,Mycobacterium tuberculosis KT-0064,Mycobacterium tuberculosis KT-0064
1400913,Mycobacterium tuberculosis KT-0068,Mycobacterium tuberculosis KT-0068
1400914,Mycobacterium tuberculosis KT-0070,Mycobacterium tuberculosis KT-0070
1400915,Mycobacterium tuberculosis KT-0071,Mycobacterium tuberculosis KT-0071
1400916,Mycobacterium tuberculosis KT-0072,Mycobacterium tuberculosis KT-0072
1400917,Mycobacterium tuberculosis KT-0074,Mycobacterium tuberculosis KT-0074
1400918,Mycobacterium tuberculosis KT-0075,Mycobacterium tuberculosis KT-0075
1400919,Mycobacterium tuberculosis KT-0076,Mycobacterium tuberculosis KT-0076
1400920,Mycobacterium tuberculosis KT-0077,Mycobacterium tuberculosis KT-0077
1400921,Mycobacterium tuberculosis KT-0078,Mycobacterium tuberculosis KT-0078
1400922,Mycobacterium tuberculosis KT-0079,Mycobacterium tuberculosis KT-0079
1400923,Mycobacterium tuberculosis KT-0080,Mycobacterium tuberculosis KT-0080
1400924,Mycobacterium tuberculosis KT-0083,Mycobacterium tuberculosis KT-0083
1400925,Mycobacterium tuberculosis KT-0084,Mycobacterium tuberculosis KT-0084
1400926,Mycobacterium tuberculosis KT-0085,Mycobacterium tuberculosis KT-0085
1400927,Mycobacterium tuberculosis KT-0089,Mycobacterium tuberculosis KT-0089
1400928,Mycobacterium tuberculosis KT-0091,Mycobacterium tuberculosis KT-0091
1400929,Mycobacterium tuberculosis KT-0092,Mycobacterium tuberculosis KT-0092
1400930,Mycobacterium tuberculosis KT-0094,Mycobacterium tuberculosis KT-0094
1400931,Mycobacterium tuberculosis KT-0096,Mycobacterium tuberculosis KT-0096
1400932,Mycobacterium tuberculosis KT-0098,Mycobacterium tuberculosis KT-0098
1400933,Mycobacterium tuberculosis KT-0099,Mycobacterium tuberculosis KT-0099
1400934,Mycobacterium tuberculosis KT-0100,Mycobacterium tuberculosis KT-0100
1400935,Mycobacterium tuberculosis KT-0102,Mycobacterium tuberculosis KT-0102
1400936,Mycobacterium tuberculosis KT-0104,Mycobacterium tuberculosis KT-0104
1400937,Mycobacterium tuberculosis KT-0106,Mycobacterium tuberculosis KT-0106
1400938,Mycobacterium tuberculosis KT-0107,Mycobacterium tuberculosis KT-0107
1400939,Mycobacterium tuberculosis KT-0108,Mycobacterium tuberculosis KT-0108
1400940,Mycobacterium tuberculosis KT-0109,Mycobacterium tuberculosis KT-0109
1400941,Mycobacterium tuberculosis KT-0110,Mycobacterium tuberculosis KT-0110
1401108,Mycobacterium sp. GR-10422,Mycobacterium sp. GR-10422
1401109,Mycobacterium sp. GR-PHOC-8696,Mycobacterium sp. GR-PHOC-8696
1401690,Mycobacterium avium subsp. silvaticum ATCC 49884,Mycobacterium avium subsp. silvaticum ATCC 49884
1401813,Mycobacterium tuberculosis DCTB0001,Mycobacterium tuberculosis DCTB0001
