taxid,name_old,name_new
1762,Mycobacteriaceae,Mycobacteriaceae
1763,Mycobacterium,Mycobacterium
1764,Mycobacterium avium,Mycobacterium avium
1765,Mycobacterium bovis,Mycobacterium tuberculosis variant bovis
1766,Mycobacterium fortuitum,Mycolicibacterium fortuitum
1767,Mycobacterium intracellulare,Mycobacterium intracellulare
1768,Mycobacterium kansasii,Mycobacterium kansasii
1769,Mycobacterium leprae,Mycobacterium leprae
1770,Mycobacterium avium subsp. paratuberculosis,Mycobacterium avium subsp. paratuberculosis
1771,Mycobacterium phlei,Mycolicibacterium phlei
1772,Mycobacterium smegmatis,Mycolicibacterium smegmatis
1773,Mycobacterium tuberculosis,Mycobacterium tuberculosis
1774,Mycobacterium chelonae,Mycobacteroides chelonae
1775,Mycobacterium cookii,Mycobacterium cookii
1776,Mycobacterium flavescens,Mycolicibacterium flavescens
1777,Mycobacterium gastri,Mycobacterium gastri
1778,Mycobacterium gordonae,Mycobacterium gordonae
1779,Mycobacterium komossense,Mycolicibacterium komossense
1780,Mycobacterium malmoense,Mycobacterium malmoense
1781,Mycobacterium marinum,Mycobacterium marinum
1782,Mycobacterium nonchromogenicum,Mycolicibacter nonchromogenicus
1783,Mycobacterium scrofulaceum,Mycobacterium scrofulaceum
1784,Mycobacterium simiae,Mycobacterium simiae
1785,Mycobacterium sp.,Mycobacterium sp.
1786,Mycobacterium sphagni,Mycolicibacterium sphagni
1787,Mycobacterium szulgai,Mycobacterium szulgai
1788,Mycobacterium terrae,Mycolicibacter terrae
1789,Mycobacterium xenopi,Mycobacterium xenopi
1790,Mycobacterium asiaticum,Mycobacterium asiaticum
1791,Mycobacterium aurum,Mycolicibacterium aurum
1792,Mycobacterium chitae,Mycolicibacterium chitae
1793,Mycobacterium fallax,Mycolicibacterium fallax
1794,Mycobacterium gadium,Mycolicibacterium gadium
1795,Mycobacterium neoaurum,Mycolicibacterium neoaurum
1796,Mycobacterium senegalense,Mycolicibacterium senegalense
1797,Mycobacterium thermoresistibile,Mycolicibacterium thermoresistibile
1798,Mycobacterium triviale,Mycolicibacillus trivialis
1799,Mycobacterium aichiense,Mycolicibacterium aichiense
1800,Mycobacterium chubuense,Mycolicibacterium chubuense
1801,Mycobacterium diernhoferi,Mycolicibacterium diernhoferi
1802,Mycobacterium farcinogenes,Mycolicibacterium farcinogenes
1804,Mycobacterium gilvum,Mycolicibacterium gilvum
1806,Mycobacterium microti,Mycobacterium tuberculosis variant microti
1807,Mycobacterium obuense,Mycolicibacterium obuense
1809,Mycobacterium ulcerans,Mycobacterium ulcerans
1810,Mycobacterium vaccae,Mycolicibacterium vaccae
12388,Mycobacterium phage FRAT1,Mycobacterium phage FRAT1
28045,Mycobacterium celatum,Mycobacterium celatum
28047,Mycobacterium confluentis,Mycolicibacterium confluentis
28445,Mycobacterium intermedium,Mycobacterium intermedium
29311,Mycobacterium haemophilum,Mycobacterium haemophilum
29312,Mycobacterium lufu,Mycobacterium lufu
29313,Mycobacterium shimoidei,Mycobacterium shimoidei
29314,Mycobacterium hiberniae,Mycolicibacter hiberniae
33892,Mycobacterium bovis BCG,Mycobacterium tuberculosis variant bovis BCG
33894,Mycobacterium africanum,Mycobacterium tuberculosis variant africanum
33895,Mycobacterium interjectum,Mycobacterium interjectum
35617,Mycobacterium indicus pranii,Mycobacterium intracellulare subsp. intracellulare
36809,Mycobacterium abscessus,Mycobacteroides abscessus
36811,Mycobacterium agri,Mycolicibacterium agri
36812,Mycobacterium genavense,Mycobacterium genavense
36813,Mycobacterium pulveris,Mycolicibacterium pulveris
36814,Mycobacterium rhodesiae,Mycolicibacterium rhodesiae
37162,Mycobacterium avium complex,Mycobacterium avium complex sp.
37916,Mycobacterium chlorophenolicum,Mycolicibacterium chlorophenolicum
39687,Mycobacterium austroafricanum,Mycolicibacterium austroafricanum
39688,Mycobacterium duvalii,Mycolicibacterium duvalii
39689,Mycobacterium gallinarum,Mycobacterium gallinarum
39690,Mycobacterium lactis,Mycobacterium lactis
39691,Mycobacterium moriokaense,Mycolicibacterium moriokaense
39692,Mycobacterium parafortuitum,Mycolicibacterium parafortuitum
39693,Mycobacterium porcinum,Mycolicibacterium porcinum
39694,Mycobacterium poriferae,Mycolicibacterium poriferae
39695,Mycobacterium tokaiense,Mycolicibacterium tokaiense
43304,Mycobacterium peregrinum,Mycolicibacterium peregrinum
43348,Mycobacterium branderi,Mycobacterium branderi
44010,Mycobacterium conspicuum,Mycobacterium conspicuum
44282,Mycobacterium avium subsp. silvaticum,Mycobacterium avium subsp. silvaticum
44454,Mycobacterium avium subsp. avium,Mycobacterium avium subsp. avium
44467,Mycobacterium tilburgii,Mycobacterium tilburgii
45764,Mycobacterium phage DS6A,Mycobacterium phage DS6A
46351,Mycobacterium hassiacum,Mycolicibacterium hassiacum
47839,Mycobacterium triplex,Mycobacterium triplex
49897,Mycobacterium hodleri,Mycolicibacterium hodleri
50226,Mycobacterium sp. T103,Mycobacterium sp. T103
50227,Mycobacterium sp. T104,Mycobacterium sp. T104
53376,Mycobacterium heidelbergense,Mycobacterium heidelbergense
53377,Mycobacterium isoniacini,Mycobacterium isoniacini
53378,Mycobacterium paraffinicum,Mycobacterium paraffinicum
53462,Mycobacterium mageritense,Mycolicibacterium mageritense
55883,Mycobacterium avium-intracellulare,Mycobacterium avium-intracellulare
56425,Mycobacterium bohemicum,Mycobacterium bohemicum
56689,Mycobacterium mucogenicum,Mycolicibacterium mucogenicum
58092,Mycobacterium sp. RF002,Mycobacterium sp. RF002
58093,Mycobacterium sp. WF2,Mycobacterium sp. WF2
59444,Mycobacterium buckleii,Mycobacterium buckleii
59750,Mycobacterium wolinskyi,Mycolicibacterium wolinskyi
59813,Mycobacterium novocastrense,Mycolicibacterium novocastrense
60232,Mycobacterium avium complex sp. TMC1476,Mycobacterium avium complex sp. TMC1476
60233,Mycobacterium avium complex sp. M12,Mycobacterium avium complex sp. M12
60234,Mycobacterium avium complex sp. 5154-O'Connor,Mycobacterium avium complex sp. 5154-O'Connor
64528,Mycobacterium columbarii,Mycobacterium columbarii
64667,Mycobacterium lepraemurium,Mycobacterium lepraemurium
65014,Mycobacterium sp. IMVS B76676,Mycobacterium sp. IMVS B76676
65388,Mycobacterium phage Ms6,Mycobacterium phage Ms6
67081,Mycobacterium alvei,Mycolicibacterium alvei
69970,Mycobacterium anthracenicum,Mycobacterium anthracenicum
74662,Mycobacterium sp. CH-1,Mycobacterium sp. CH-1
75920,Mycobacterium sp. 'ratisbonense',Mycobacterium sp. 'ratisbonense'
75921,Mycobacterium sp. M0183,Mycobacterium sp. M0183
75922,Mycobacterium tusciae,Mycolicibacterium tusciae
77643,Mycobacterium tuberculosis complex,Mycobacterium tuberculosis complex
78331,Mycobacterium canettii,Mycobacterium canettii
81858,Mycobacterium elephantis,Mycolicibacterium elephantis
83262,Mycobacterium immunogenum,Mycobacteroides immunogenum
83331,Mycobacterium tuberculosis CDC1551,Mycobacterium tuberculosis CDC1551
83332,Mycobacterium tuberculosis H37Rv,Mycobacterium tuberculosis H37Rv
84591,Mycobacterium sp. HE5,Mycobacterium sp. HE5
84962,Mycobacterium botniense,Mycobacterium botniense
85684,Mycobacterium sp. FM10,Mycobacterium sp. FM10
85693,Mycobacterium monacense,Mycolicibacterium monacense
85968,Mycobacterium brumae,Mycolicibacterium brumae
86002,Mycobacterium sydneyiensis,Mycobacterium sydneyiensis
88379,Mycobacterium sp. IFO16251,Mycobacterium sp. IFO16251
88380,Mycobacterium sp. IFO16252,Mycobacterium sp. IFO16252
88870,Mycobacterium phage TM4,Mycobacterium phage TM4
93144,Mycobacterium sp. Murphy,Mycobacterium sp. Murphy
95302,Mycobacterium sp. DhA-55,Mycobacterium sp. DhA-55
96559,Mycobacterium sp. TA27,Mycobacterium sp. TA27
96560,Mycobacterium sp. TA5,Mycobacterium sp. TA5
98668,Mycobacterium septicum,Mycolicibacterium septicum
98669,Mycobacterium n. sp. 'Fuerth 1999',Mycobacterium n. sp. 'Fuerth 1999'
99118,Mycobacterium cf. xenopi 'Hymi_Wue Tb_939/99',Mycobacterium cf. xenopi 'Hymi_Wue Tb_939/99'
100007,Mycobacterium sp. C2-3,Mycobacterium sp. C2-3
105643,Mycobacterium sp. 9502227,Mycobacterium sp. 9502227
106323,Mycobacterium sp. GP1,Mycobacterium sp. GP1
110505,Mycobacterium heckeshornense,Mycobacterium heckeshornense
110539,Mycobacterium vanbaalenii,Mycolicibacterium vanbaalenii
110830,Mycobacterium sp. MU99402,Mycobacterium sp. MU99402
112016,Mycobacterium sp. 'Sydney 2453',Mycobacterium sp. 'Sydney 2453'
112017,Mycobacterium sp. 'Sydney 1558',Mycobacterium sp. 'Sydney 1558'
114977,Mycobacterium acapulcensis,Mycolicibacterium acapulense
115862,Mycobacterium caprae,Mycobacterium tuberculosis variant caprae
115970,Mycobacterium sp. AT-3,Mycobacterium sp. AT-3
115971,Mycobacterium sp. CT-11,Mycobacterium sp. CT-11
115972,Mycobacterium sp. CT-12,Mycobacterium sp. CT-12
115973,Mycobacterium sp. JT-15,Mycobacterium sp. JT-15
115974,Mycobacterium sp. KT-19,Mycobacterium sp. KT-19
115975,Mycobacterium sp. KT-22,Mycobacterium sp. KT-22
115976,Mycobacterium sp. KT-23,Mycobacterium sp. KT-23
117567,Mycobacterium frederiksbergense,Mycobacterium frederiksbergense
119026,Mycobacterium sp. STR-1,Mycobacterium sp. STR-1
119027,Mycobacterium sp. STR-2,Mycobacterium sp. STR-2
119028,Mycobacterium sp. STR-3,Mycobacterium sp. STR-3
119029,Mycobacterium sp. STR-4,Mycobacterium sp. STR-4
119030,Mycobacterium sp. STR-9,Mycobacterium sp. STR-9
119031,Mycobacterium sp. STR-6,Mycobacterium sp. STR-6
119032,Mycobacterium sp. STR-7,Mycobacterium sp. STR-7
119033,Mycobacterium sp. STR-8,Mycobacterium sp. STR-8
119034,Mycobacterium sp. STR-19,Mycobacterium sp. STR-19
119035,Mycobacterium sp. STR-17,Mycobacterium sp. STR-17
119036,Mycobacterium sp. STR-21,Mycobacterium sp. STR-21
119037,Mycobacterium sp. STR-11,Mycobacterium sp. STR-11
119038,Mycobacterium sp. STR-12,Mycobacterium sp. STR-12
119039,Mycobacterium sp. STR-13,Mycobacterium sp. STR-13
119040,Mycobacterium sp. STR-18,Mycobacterium sp. STR-18
119478,Mycobacterium cf. triplex 'isolate 23',Mycobacterium cf. triplex 'isolate 23'
120793,Mycobacterium avium complex (MAC),Mycobacterium avium complex (MAC)
120959,Mycobacterium kubicae,Mycobacterium kubicae
122367,Mycobacterium chesapeaki,Mycobacterium chesapeaki
126673,Mycobacterium doricum,Mycolicibacterium doricum
132395,Mycobacterium sp. SM7.6.1,Mycobacterium sp. SM7.6.1
133549,Mycobacterium shottsii,Mycobacterium shottsii
134601,Mycobacterium goodii,Mycolicibacterium goodii
135007,Mycobacterium sp. AC-1,Mycobacterium sp. AC-1
135008,Mycobacterium sp. CT-9,Mycobacterium sp. CT-9
135009,Mycobacterium sp. CT-10,Mycobacterium sp. CT-10
135010,Mycobacterium sp. CT-24,Mycobacterium sp. CT-24
135011,Mycobacterium sp. CT-25,Mycobacterium sp. CT-25
135012,Mycobacterium sp. JC-13,Mycobacterium sp. JC-13
135013,Mycobacterium sp. JC-14,Mycobacterium sp. JC-14
135014,Mycobacterium sp. KT-26,Mycobacterium sp. KT-26
135015,Mycobacterium sp. KT-27,Mycobacterium sp. KT-27
135581,Mycobacterium sp. ESD,Mycobacterium sp. ESD
137652,Mycobacterium sp. 'cat',Mycobacterium sp. 'cat'
141349,Mycobacterium lentiflavum,Mycobacterium lentiflavum
144549,Mycobacterium fortuitum subsp. fortuitum,Mycolicibacterium fortuitum subsp. fortuitum
144550,Mycobacterium fortuitum subsp. acetamidolyticum,Mycolicibacterium fortuitum subsp. acetamidolyticum
146017,Mycobacterium boenickei,Mycolicibacterium boenickei
146018,Mycobacterium neworleansense,Mycolicibacterium neworleansense
146020,Mycobacterium brisbanense,Mycolicibacterium brisbanense
146021,Mycobacterium houstonense,Mycolicibacterium houstonense
151080,Mycobacterium fuerthensis,Mycobacterium fuerthensis
151695,Mycobacterium sp. 1032b,Mycobacterium sp. 1032b
152142,Mycobacterium holsaticum,Mycolicibacterium holsaticum
153656,Mycobacterium sp. LB501T,Mycobacterium sp. LB501T
153971,Mycobacterium palustre,Mycobacterium palustre
154351,Mycobacterium sp. CC-4,Mycobacterium sp. CC-4
154654,Mycobacterium montefiorense,Mycobacterium montefiorense
156204,Mycobacterium sp. RP1,Mycobacterium sp. RP1
156220,Mycobacterium sp. 1B,Mycobacterium sp. 1B
156221,Mycobacterium sp. 2B,Mycobacterium sp. 2B
156222,Mycobacterium sp. 3B,Mycobacterium sp. 3B
156223,Mycobacterium sp. 4B,Mycobacterium sp. 4B
156224,Mycobacterium sp. 5B,Mycobacterium sp. 5B
156225,Mycobacterium sp. 6B,Mycobacterium sp. 6B
156682,Mycobacterium sp. CT-26,Mycobacterium sp. CT-26
156683,Mycobacterium sp. CT-27,Mycobacterium sp. CT-27
156684,Mycobacterium sp. CT-28,Mycobacterium sp. CT-28
156685,Mycobacterium sp. CT-29,Mycobacterium sp. CT-29
156686,Mycobacterium sp. CT-30,Mycobacterium sp. CT-30
156687,Mycobacterium sp. CT-31,Mycobacterium sp. CT-31
156688,Mycobacterium sp. CT-32,Mycobacterium sp. CT-32
156689,Mycobacterium sp. CT-33,Mycobacterium sp. CT-33
157184,Mycobacterium siernhoferi,Mycobacterium siernhoferi
164125,Mycobacterium phage L1,Mycobacterium phage L1
164513,Mycobacterium tuberculosis 210,Mycobacterium tuberculosis 210
164756,Mycobacterium sp. MCS,Mycobacterium sp. MCS
164757,Mycobacterium sp. JLS,Mycobacterium sp. JLS
164758,Mycobacterium sp. 131B,Mycobacterium sp. 131B
169765,Mycobacterium lacus,Mycobacterium lacus
169876,Mycobacterium sp. G3,Mycobacterium sp. G3
171702,Mycobacterium sp. RiVM 9601388,Mycobacterium sp. RiVM 9601388
171703,Mycobacterium sp. RiVM 9600915,Mycobacterium sp. RiVM 9600915
171704,Mycobacterium sp. RiVM 9801833,Mycobacterium sp. RiVM 9801833
171705,Mycobacterium sp. RiVM 9600439,Mycobacterium sp. RiVM 9600439
171706,Mycobacterium sp. RiVM 9601800,Mycobacterium sp. RiVM 9601800
171707,Mycobacterium sp. RiVM 9801560,Mycobacterium sp. RiVM 9801560
171708,Mycobacterium sp. RiVM 9900327,Mycobacterium sp. RiVM 9900327
171709,Mycobacterium sp. RiVM 9601918,Mycobacterium sp. RiVM 9601918
171710,Mycobacterium sp. RiVM 9701605,Mycobacterium sp. RiVM 9701605
171711,Mycobacterium sp. RiVM 9601002,Mycobacterium sp. RiVM 9601002
171712,Mycobacterium sp. RiVM 9601940,Mycobacterium sp. RiVM 9601940
171713,Mycobacterium sp. RiVM 9701604,Mycobacterium sp. RiVM 9701604
171714,Mycobacterium sp. RiVM 16186,Mycobacterium sp. RiVM 16186
171715,Mycobacterium sp. RiVM 9701619,Mycobacterium sp. RiVM 9701619
172993,Mycobacterium sp. dtb94,Mycobacterium sp. dtb94
174276,Mycobacterium sp. MB65,Mycobacterium sp. MB65
174277,Mycobacterium sp. MB69,Mycobacterium sp. MB69
174279,Mycobacterium sp. PCO1,Mycobacterium sp. PCO1
180224,Mycobacterium visibile,Mycobacterium visibile
180444,Mycobacterium sp. 9912,Mycobacterium sp. 9912
180583,Mycobacterium sp. MEU-1,Mycobacterium sp. MEU-1
181583,Mycobacterium sp. 2333,Mycobacterium sp. 2333
182135,Mycobacterium sp. 1761 27 10 01,Mycobacterium sp. 1761 27 10 01
182220,Mycobacterium murale,Mycolicibacterium murale
182785,Mycobacterium tuberculosis subsp. tuberculosis,Mycobacterium tuberculosis subsp. tuberculosis
185642,Mycobacterium parmense,Mycobacterium parmense
186873,Mycobacterium sp. 15,Mycobacterium sp. 15
186874,Mycobacterium sp. 7,Mycobacterium sp. 7
186875,Mycobacterium sp. 19,Mycobacterium sp. 19
186876,Mycobacterium sp. 24,Mycobacterium sp. 24
187102,Mycobacterium pyrenivorans,Mycolicibacterium pyrenivorans
188652,Mycobacterium sp. Ellin113,Mycobacterium sp. Ellin113
188653,Mycobacterium sp. Ellin118,Mycobacterium sp. Ellin118
188654,Mycobacterium sp. Ellin142,Mycobacterium sp. Ellin142
188655,Mycobacterium sp. Ellin148,Mycobacterium sp. Ellin148
188656,Mycobacterium sp. Ellin151,Mycobacterium sp. Ellin151
188657,Mycobacterium sp. Ellin180,Mycobacterium sp. Ellin180
188658,Mycobacterium sp. Ellin182,Mycobacterium sp. Ellin182
188915,Mycobacterium engbaekii,Mycolicibacter engbaekii
188916,Mycobacterium lacticola,Mycobacterium lacticola
188917,Mycobacterium petroleophilum,Mycobacterium petroleophilum
189918,Mycobacterium sp. KMS,Mycobacterium sp. KMS
190147,Mycobacterium manitobense,Mycobacterium manitobense
191802,Mycobacterium sp. HXN100,Mycobacterium sp. HXN100
192077,Mycobacterium sp. BPC5,Mycobacterium sp. BPC5
192098,Mycobacterium sp. Ellin241,Mycobacterium sp. Ellin241
193081,Mycobacterium sp. LIV-1836,Mycobacterium sp. LIV-1836
193082,Mycobacterium sp. LIV-2052,Mycobacterium sp. LIV-2052
193083,Mycobacterium sp. LIV-2123,Mycobacterium sp. LIV-2123
193084,Mycobacterium sp. LIV-2129,Mycobacterium sp. LIV-2129
193085,Mycobacterium sp. LIV-2255,Mycobacterium sp. LIV-2255
193086,Mycobacterium sp. LIV-2304,Mycobacterium sp. LIV-2304
193087,Mycobacterium sp. LIV-2071,Mycobacterium sp. LIV-2071
193088,Mycobacterium sp. LIV-2318,Mycobacterium sp. LIV-2318
193089,Mycobacterium sp. LIV-1499,Mycobacterium sp. LIV-1499
193090,Mycobacterium sp. LIV-389,Mycobacterium sp. LIV-389
194542,Mycobacterium pinnipedii,Mycobacterium tuberculosis variant pinnipedii
196161,Mycobacterium sp. JS621,Mycobacterium sp. JS621
196586,Mycobacterium sp. 'graecum DL049',Mycobacterium sp. 'graecum DL049'
197612,Mycobacterium sp. 185-409,Mycobacterium sp. 185-409
201180,Mycobacterium sp. 6PY1,Mycobacterium sp. 6PY1
204047,Mycobacterium sp. Myc399,Mycobacterium sp. Myc399
205868,Mycobacterium virus Che8,Mycobacterium virus Che8
205874,Mycobacterium phage Rosebush,Mycobacterium phage Rosebush
205877,Mycobacterium phage Bxz1,Mycobacterium phage Bxz1
205880,Mycobacterium phage Barnyard,Mycobacterium phage Barnyard
209257,Mycobacterium sp. CF1,Mycobacterium sp. CF1
212194,Mycobacterium sp. DSM 3803,Mycobacterium sp. DSM 3803
212765,Mycobacterium madagascariense,Mycolicibacterium madagascariense
212767,Mycobacterium sp. JS623,Mycobacterium sp. JS623
212768,Mycobacterium sp. JS624,Mycobacterium sp. JS624
213218,Mycobacterium sp. YM12,Mycobacterium sp. YM12
213236,Mycobacterium phage PG1,Mycobacterium phage PG1
213420,Mycobacterium sp. 'baby formula #683',Mycobacterium sp. 'baby formula #683'
214016,Mycobacterium sp. S65,Mycobacterium sp. S65
215912,Mycobacterium sp. IP20010510,Mycobacterium sp. IP20010510
215913,Mycobacterium sp. IP20010516,Mycobacterium sp. IP20010516
215914,Mycobacterium sp. IP20010531,Mycobacterium sp. IP20010531
215915,Mycobacterium sp. IP20010660,Mycobacterium sp. IP20010660
215916,Mycobacterium sp. IP20010664,Mycobacterium sp. IP20010664
215917,Mycobacterium sp. IP20010718,Mycobacterium sp. IP20010718
215918,Mycobacterium sp. IP20010947,Mycobacterium sp. IP20010947
215919,Mycobacterium sp. IP20010961,Mycobacterium sp. IP20010961
216594,Mycobacterium marinum M,Mycobacterium marinum M
216894,Mycobacterium cf. triplex,Mycobacterium cf. triplex
216929,Mycobacterium psychrotolerans,Mycolicibacterium psychrotolerans
218162,Mycobacterium sp. I5,Mycobacterium sp. I5
218286,Mycobacterium sp. FI-28796,Mycobacterium sp. FI-28796
219281,Mycobacterium sp. HSC 1852,Mycobacterium sp. HSC 1852
219282,Mycobacterium sp. HSC 1658,Mycobacterium sp. HSC 1658
219731,Mycobacterium sp. UC3,Mycobacterium sp. UC3
219732,Mycobacterium sp. NB01,Mycobacterium sp. NB01
219945,Mycobacterium sp. N233,Mycobacterium sp. N233
219946,Mycobacterium sp. N523,Mycobacterium sp. N523
219947,Mycobacterium sp. N105,Mycobacterium sp. N105
219948,Mycobacterium sp. N1728C,Mycobacterium sp. N1728C
219949,Mycobacterium sp. N1873C,Mycobacterium sp. N1873C
219950,Mycobacterium sp. N094,Mycobacterium sp. N094
219951,Mycobacterium sp. N083,Mycobacterium sp. N083
219952,Mycobacterium sp. N109C,Mycobacterium sp. N109C
219953,Mycobacterium sp. N115,Mycobacterium sp. N115
219954,Mycobacterium sp. N1725C,Mycobacterium sp. N1725C
219955,Mycobacterium sp. N179,Mycobacterium sp. N179
219956,Mycobacterium sp. N183,Mycobacterium sp. N183
219957,Mycobacterium sp. N198,Mycobacterium sp. N198
219958,Mycobacterium sp. N199,Mycobacterium sp. N199
219959,Mycobacterium sp. N532C,Mycobacterium sp. N532C
219960,Mycobacterium sp. N548,Mycobacterium sp. N548
219961,Mycobacterium sp. N586,Mycobacterium sp. N586
219962,Mycobacterium sp. N661,Mycobacterium sp. N661
219963,Mycobacterium sp. N1768T,Mycobacterium sp. N1768T
219964,Mycobacterium sp. N344,Mycobacterium sp. N344
219965,Mycobacterium sp. N256,Mycobacterium sp. N256
219966,Mycobacterium sp. N405,Mycobacterium sp. N405
219967,Mycobacterium sp. N406,Mycobacterium sp. N406
219973,Mycobacterium sp. N422,Mycobacterium sp. N422
219974,Mycobacterium sp. N061,Mycobacterium sp. N061
219975,Mycobacterium sp. N102,Mycobacterium sp. N102
219976,Mycobacterium sp. N110,Mycobacterium sp. N110
219977,Mycobacterium sp. N570,Mycobacterium sp. N570
219978,Mycobacterium sp. N573,Mycobacterium sp. N573
219979,Mycobacterium sp. N608,Mycobacterium sp. N608
219980,Mycobacterium sp. N485,Mycobacterium sp. N485
219981,Mycobacterium sp. N1734C,Mycobacterium sp. N1734C
219982,Mycobacterium sp. N1874,Mycobacterium sp. N1874
219983,Mycobacterium sp. N665,Mycobacterium sp. N665
219984,Mycobacterium sp. N667,Mycobacterium sp. N667
219985,Mycobacterium sp. N499RC,Mycobacterium sp. N499RC
219986,Mycobacterium sp. N516C,Mycobacterium sp. N516C
219987,Mycobacterium sp. N246,Mycobacterium sp. N246
219988,Mycobacterium sp. N633,Mycobacterium sp. N633
219989,Mycobacterium sp. N343,Mycobacterium sp. N343
219990,Mycobacterium sp. N101,Mycobacterium sp. N101
219991,Mycobacterium sp. N135,Mycobacterium sp. N135
219992,Mycobacterium sp. N675,Mycobacterium sp. N675
219993,Mycobacterium sp. N304,Mycobacterium sp. N304
219994,Mycobacterium sp. N431,Mycobacterium sp. N431
219995,Mycobacterium sp. N009T,Mycobacterium sp. N009T
219996,Mycobacterium sp. N056,Mycobacterium sp. N056
219997,Mycobacterium sp. N097,Mycobacterium sp. N097
219998,Mycobacterium sp. N103,Mycobacterium sp. N103
219999,Mycobacterium sp. N116N,Mycobacterium sp. N116N
220000,Mycobacterium sp. N119,Mycobacterium sp. N119
220001,Mycobacterium sp. N120,Mycobacterium sp. N120
220002,Mycobacterium sp. N123C,Mycobacterium sp. N123C
220003,Mycobacterium sp. N141,Mycobacterium sp. N141
220004,Mycobacterium sp. N160CC,Mycobacterium sp. N160CC
220005,Mycobacterium sp. N161CC,Mycobacterium sp. N161CC
220006,Mycobacterium sp. N165,Mycobacterium sp. N165
220007,Mycobacterium sp. N169,Mycobacterium sp. N169
220008,Mycobacterium sp. N1729C,Mycobacterium sp. N1729C
220009,Mycobacterium sp. N173,Mycobacterium sp. N173
220010,Mycobacterium sp. N1730C,Mycobacterium sp. N1730C
220011,Mycobacterium sp. N1764T,Mycobacterium sp. N1764T
220012,Mycobacterium sp. N1766T,Mycobacterium sp. N1766T
220013,Mycobacterium sp. N1767T,Mycobacterium sp. N1767T
220014,Mycobacterium sp. N1772T,Mycobacterium sp. N1772T
220015,Mycobacterium sp. N1773T,Mycobacterium sp. N1773T
220016,Mycobacterium sp. N1774T,Mycobacterium sp. N1774T
220017,Mycobacterium sp. N228,Mycobacterium sp. N228
220018,Mycobacterium sp. N271,Mycobacterium sp. N271
220019,Mycobacterium sp. N288,Mycobacterium sp. N288
220020,Mycobacterium sp. N346,Mycobacterium sp. N346
220021,Mycobacterium sp. N508,Mycobacterium sp. N508
220022,Mycobacterium sp. N530,Mycobacterium sp. N530
220023,Mycobacterium sp. N535C,Mycobacterium sp. N535C
220024,Mycobacterium sp. N582,Mycobacterium sp. N582
220025,Mycobacterium sp. N641C,Mycobacterium sp. N641C
220026,Mycobacterium sp. N845T,Mycobacterium sp. N845T
220027,Mycobacterium sp. N883T,Mycobacterium sp. N883T
220028,Mycobacterium sp. N526,Mycobacterium sp. N526
220029,Mycobacterium sp. N1739C,Mycobacterium sp. N1739C
220030,Mycobacterium sp. N1740C,Mycobacterium sp. N1740C
220031,Mycobacterium sp. N1742C,Mycobacterium sp. N1742C
220032,Mycobacterium sp. N662,Mycobacterium sp. N662
220033,Mycobacterium sp. N146,Mycobacterium sp. N146
220034,Mycobacterium sp. N1760T,Mycobacterium sp. N1760T
220927,Mycobacterium saskatchewanense,Mycobacterium saskatchewanense
222805,Mycobacterium chimaera,Mycobacterium intracellulare subsp. chimaera
225001,Mycobacterium sp. SA394,Mycobacterium sp. SA394
225329,Mycobacterium sp. 1B(CD),Mycobacterium sp. 1B(CD)
228230,Mycobacterium canariasense,Mycolicibacterium canariasense
228909,Mycobacterium hackensackense,Mycobacterium hackensackense
230312,Mycobacterium sp. PP1,Mycobacterium sp. PP1
230313,Mycobacterium sp. FM30,Mycobacterium sp. FM30
230314,Mycobacterium sp. BM04,Mycobacterium sp. BM04
230315,Mycobacterium sp. BM01,Mycobacterium sp. BM01
230316,Mycobacterium sp. LM20,Mycobacterium sp. LM20
230317,Mycobacterium sp. LM32,Mycobacterium sp. LM32
230318,Mycobacterium sp. BM06,Mycobacterium sp. BM06
230319,Mycobacterium sp. BM05,Mycobacterium sp. BM05
230320,Mycobacterium sp. LM40,Mycobacterium sp. LM40
230710,Mycobacterium album,Mycobacterium album
232019,Mycobacterium sp. RJGII-135,Mycobacterium sp. RJGII-135
233413,Mycobacterium bovis AF2122/97,Mycobacterium tuberculosis variant bovis AF2122/97
233585,Mycobacterium phage L1cIts391,Mycobacterium phage L1cIts391
233858,Mycobacterium sacrum,Mycobacterium sacrum
235253,Mycobacterium sp. HSC970,Mycobacterium sp. HSC970
235254,Mycobacterium sp. 1351,Mycobacterium sp. 1351
235255,Mycobacterium sp. HSC324,Mycobacterium sp. HSC324
235256,Mycobacterium sp. HSC468,Mycobacterium sp. HSC468
235257,Mycobacterium sp. HSC2034,Mycobacterium sp. HSC2034
235258,Mycobacterium sp. HSC507,Mycobacterium sp. HSC507
235259,Mycobacterium sp. HSC514,Mycobacterium sp. HSC514
235260,Mycobacterium sp. HSC1158,Mycobacterium sp. HSC1158
235687,Mycobacterium sp. 01-627,Mycobacterium sp. 01-627
235688,Mycobacterium sp. 01-628,Mycobacterium sp. 01-628
235689,Mycobacterium sp. 01-629,Mycobacterium sp. 01-629
235690,Mycobacterium sp. 01-632,Mycobacterium sp. 01-632
235691,Mycobacterium sp. 01-633,Mycobacterium sp. 01-633
235692,Mycobacterium sp. 01-636,Mycobacterium sp. 01-636
235693,Mycobacterium sp. 01-664,Mycobacterium sp. 01-664
235694,Mycobacterium sp. 01-665,Mycobacterium sp. 01-665
240125,Mycobacterium parascrofulaceum,Mycobacterium parascrofulaceum
